Date,Description,Credit,Debit,Balance
31/03/2026,COLES 0451 - Visa Purchase - Receipt 700101In MIDVALE Date 30 Mar 2026 Card 462200xxxxxx1234,,-64.20,1320.10
31/03/2026,SQ *CORNER CAFE - Visa Purchase - Receipt 700102In MIDVALE Date 30 Mar 2026 Card 462200xxxxxx1234,,-5.80,1384.30
30/03/2026,Internal Transfer - Internal Transfer - Receipt 700103 Savings 0000111122,,-300.00,1390.10
29/03/2026,UBER   *EATS - EFTPOS Purchase - Receipt 700104Date 29 Mar 2026 Time 7:45PM Card 462200xxxxxx1234,,-32.50,1690.10
28/03/2026,NETFLIX.COM - Direct Debit - Receipt 700105 445566,,-16.99,1722.60
27/03/2026,AGL ENERGY - Direct Debit - Receipt 700106 778899,,-142.30,1739.59
24/03/2026,BP RIVERTON - Visa Purchase - Receipt 700107In RIVERTON Date 23 Mar 2026 Card 462200xxxxxx1234,,-78.40,1881.89
20/03/2026,KMART 1246 - Visa Purchase - Receipt 700108In RIVERTON Date 19 Mar 2026 Card 462200xxxxxx1234,,-45.00,1960.29
12/03/2026,COLES 0451 - Visa Purchase - Receipt 700109In MIDVALE Date 11 Mar 2026 Card 462200xxxxxx1234,,-52.15,2005.29
05/03/2026,Jordan Lee - Osko Payment to 062000 12345678 - Receipt 700110,,-650.00,2057.44
27/02/2026,NETFLIX.COM - Direct Debit - Receipt 700111 445500,,-16.99,1100.00
26/02/2026,AGL ENERGY - Direct Debit - Receipt 700112 778800,,-138.10,1116.99
22/02/2026,WOOLWORTHS 3201 - Visa Purchase - Receipt 700113In MIDVALE Date 21 Feb 2026 Card 462200xxxxxx1234,,-71.30,1255.09
18/02/2026,PRICELINE PHARMACY - Visa Purchase - Receipt 700114In MIDVALE Date 17 Feb 2026 Card 462200xxxxxx1234,,-24.95,1326.39
15/02/2026,ANYTIME FITNESS - Direct Debit - Receipt 700115 220011,,-21.95,1351.34
12/02/2026,Internal Transfer - Internal Transfer - Receipt 700116 Savings 0000111122,,-250.00,1373.29
08/02/2026,BIG W ONLINE - Visa Purchase - Receipt 700117In DOCKLANDS Date 06 Feb 2026 Card 462200xxxxxx1234,,-39.00,1412.29
03/02/2026,Sam Rivera - Osko Payment to 062111 87654321 - Receipt 700118,,-120.00,1451.29
30/01/2026,NETFLIX.COM - Direct Debit - Receipt 700119 445400,,-16.99,900.00
28/01/2026,AGL ENERGY - Direct Debit - Receipt 700120 778700,,-150.05,916.99
25/01/2026,COLES 0451 - Visa Purchase - Receipt 700121In MIDVALE Date 24 Jan 2026 Card 462200xxxxxx1234,,-83.40,1000.39
21/01/2026,KMART REFUND - Visa Refund - Receipt 700122In RIVERTON Date 20 Jan 2026 Card 462200xxxxxx1234,18.00,,1083.79
16/01/2026,BUNNINGS 573 - Visa Purchase - Receipt 700123In RIVERTON Date 15 Jan 2026 Card 462200xxxxxx1234,,-112.60,1065.79
12/01/2026,GREENLEAF CINEMA - Visa Purchase - Receipt 700124In MIDVALE Date 11 Jan 2026 Card 462200xxxxxx1234,,-36.00,1178.39
09/01/2026,SPOTIFY - Direct Debit - Receipt 700125 112233,,-13.99,1214.39
04/01/2026,RIVERSIDE DENTAL - Visa Purchase - Receipt 700126In MIDVALE Date 03 Jan 2026 Card 462200xxxxxx1234,,-180.00,1228.38
